time,x,y,z,vx,vy,vz
3580.0,-4.08247715293997e6,-5.391116922185629e6,0.0,6122.365088048845,-4647.215688931584,0.0
3590.0,-4.0209913465062454e6,-5.437240150444996e6,0.0,6174.663587638793,-4577.3311963519,0.0
3600.0,-3.958986544583459e6,-5.482661585930156e6,0.0,6226.16307696299,-4506.858655388158,0.0
3610.0,-3.896470770366266e6,-5.527375393921287e6,0.0,6276.856955187569,-4435.807231252297,0.0
3620.0,-3.8334521125292974e6,-5.571375831720885e6,0.0,6326.738727289367,-4364.186162990554,0.0
3630.0,-3.769938724164939e6,-5.614657249385931e6,0.0,6375.802004875675,-4292.004762246572,0.0
3640.0,-3.7059388217129926e6,-5.65721409044764e6,0.0,6424.040506989184,-4219.272412015559,0.0
3650.0,-3.6414606838823576e6,-5.699040892618715e6,0.0,6471.448060898029,-4145.99856538968,0.0
3660.0,-3.5765126505648885e6,-5.740132288488004e6,0.0,6518.018602870855,-4072.192744294859,0.0
3670.0,-3.5111031217415784e6,-5.780483006202491e6,0.0,6563.746178936795,-3997.8645382191894,0.0
3680.0,-3.445240556381217e6,-5.820087870136518e6,0.0,6608.624945630295,-3923.0236029331313,0.0
3690.0,-3.378933471331677e6,-5.858941801548185e6,0.0,6652.649170720682,-3847.679659201689,0.0
3700.0,-3.31219044020398e6,-5.897039819222817e6,0.0,6695.81323392641,-3771.8424914887564,0.0
3710.0,-3.2450200922493e6,-5.934377040103447e6,0.0,6738.11162761389,-3695.5219466538165,0.0
3720.0,-3.1774311112290523e6,-5.97094867990822e6,0.0,6779.538957480838,-3618.72793264119,0.0
3730.0,-3.1094322342782314e6,-6.006750053734661e6,0.0,6820.08994322406,-3541.4704171620224,0.0
3740.0,-3.0410322507621427e6,-6.041776576650723e6,0.0,6859.759419191612,-3463.7594263691985,0.0
3750.0,-2.9722400011266973e6,-6.076023764272548e6,0.0,6898.542335019249,-3385.60504352538,0.0
3760.0,-2.903064375742417e6,-6.10948723332888e6,0.0,6936.433756251109,-3307.017407664357,0.0
3770.0,-2.8335143137423135e6,-6.1421627022120515e6,0.0,6973.428864944573,-3228.006712245906,0.0
